"","Year","mean","Year.1","SD"
"1",2003,85.8423908493516,2003,68.7486265588825
"2",2004,190.523459232819,2004,172.905343268987
"3",2005,196.213029023342,2005,131.71317361737
"4",2006,39.7048855855109,2006,38.2704791009121
"5",2007,51.5929510988454,2007,67.3333516827136
"6",2008,29.4236239807644,2008,20.2315172019511
"7",2009,36.8080977369087,2009,44.4777561120128
"8",2010,21.5860492475498,2010,51.5579804049805
"9",2011,18.7583067070412,2011,31.6400419688927
"10",2012,13.5971682316694,2012,16.0254645860093
"11",2013,NA,2013,NA
"12",2014,95.8443439879184,2014,94.9997127866627
"13",2015,NA,2015,NA
"14",2016,94.8984844911458,2016,74.0581552050663
"15",2017,NA,2017,NA
"16",2018,214.552070860151,2018,138.604060633234
"17",2019,NA,2019,NA
"18",2021,NA,2021,NA
"19",2022,35.759975539549,2022,26.5045977238421
"20",2023,NA,2023,NA
"21",2024,12.5991931674533,2024,13.6605841177921
