"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",48361125.2003093,5975815.67066087,0.186301245353882
"1","2004","Stratum_1"," [kg*km2/km2]",106058573.943062,11132293.457265,0.157050777297758
"1","2005","Stratum_1"," [kg*km2/km2]",112028829.317008,12145009.5167398,0.165406934744308
"1","2006","Stratum_1"," [kg*km2/km2]",21890220.8015755,2263172.52170583,0.15106214964779
"1","2007","Stratum_1"," [kg*km2/km2]",27898437.3487763,3102718.37668624,0.162575039939526
"1","2008","Stratum_1"," [kg*km2/km2]",18024273.6979602,2757618.28384331,0.251058414645655
"1","2009","Stratum_1"," [kg*km2/km2]",21746439.6460281,3120667.2620923,0.223027090675608
"1","2010","Stratum_1"," [kg*km2/km2]",11231195.7920625,1653460.22599724,0.214126218607487
"1","2011","Stratum_1"," [kg*km2/km2]",10534924.232083,1693074.36500902,0.24071694697017
"1","2012","Stratum_1"," [kg*km2/km2]",7410540.2333638,819254.435606815,0.164391200220615
"1","2013","Stratum_1"," [kg*km2/km2]",765410.539076112,184871.636716479,0.443443856228224
"1","2014","Stratum_1"," [kg*km2/km2]",53794134.0086728,6733450.9096489,0.190506848211622
"1","2015","Stratum_1"," [kg*km2/km2]",765410.539076113,184871.636716479,0.443443856228224
"1","2016","Stratum_1"," [kg*km2/km2]",57152207.8765501,8288899.19392517,0.236174317264879
"1","2017","Stratum_1"," [kg*km2/km2]",765410.539076112,184871.636716479,0.443443856228224
"1","2018","Stratum_1"," [kg*km2/km2]",135771034.388397,29361614.1982605,0.369542088112788
"1","2019","Stratum_1"," [kg*km2/km2]",765410.539076111,184871.636716479,0.443443856228224
"1","2020","Stratum_1"," [kg*km2/km2]",765410.539076112,184871.636716479,0.443443856228224
"1","2021","Stratum_1"," [kg*km2/km2]",765410.539076114,184871.636716479,0.443443856228224
"1","2022","Stratum_1"," [kg*km2/km2]",22507572.0883299,4653176.26132008,0.34777823081642
"1","2023","Stratum_1"," [kg*km2/km2]",765410.539076113,184871.636716479,0.443443856228224
"1","2024","Stratum_1"," [kg*km2/km2]",7888839.42107161,1643319.33564535,0.346979571893463
