"","Year","mean","Year.1","SD"
"1",2003,5.34845414573812,2003,8.44173338505599
"2",2004,3.61650464201607,2004,5.66100884841584
"3",2005,6.16639829746756,2005,8.56494065596072
"4",2006,3.90668069093356,2006,16.5759550591304
"5",2007,14.6586010835314,2007,37.6999113695404
"6",2008,4.42601941337623,2008,4.54643285800445
"7",2009,6.69383821492662,2009,18.7525744762267
"8",2010,1.05762316866063,2010,1.16035282887349
"9",2011,1.12304187636985,2011,1.40273897122725
"10",2012,1.45310471683776,2012,1.9342518672185
"11",2013,NA,2013,NA
"12",2014,4.58765823824243,2014,12.0886670225654
"13",2015,NA,2015,NA
"14",2016,1.68834728111195,2016,5.18819632664078
"15",2017,NA,2017,NA
"16",2018,9.90148615194942,2018,8.12063285139417
"17",2019,NA,2019,NA
"18",2021,NA,2021,NA
"19",2022,0.860881032855682,2022,0.520470688632121
"20",2023,NA,2023,NA
"21",2024,0.790488029634692,2024,0.55343365593705
