"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",3437094.79436107,473952.568711707,0.239517176059747
"1","2004","Stratum_1"," [kg*km2/km2]",2325254.32439908,288058.060868765,0.21906461457389
"1","2005","Stratum_1"," [kg*km2/km2]",3968055.89012556,420583.87151204,0.184721694773372
"1","2006","Stratum_1"," [kg*km2/km2]",2415138.18288383,389484.02993529,0.272186978277915
"1","2007","Stratum_1"," [kg*km2/km2]",9076171.04761577,1228408.77323958,0.226166349176473
"1","2008","Stratum_1"," [kg*km2/km2]",3148468.9698509,637662.899711451,0.389135976256928
"1","2009","Stratum_1"," [kg*km2/km2]",4687918.35320766,996897.720224014,0.384161337000891
"1","2010","Stratum_1"," [kg*km2/km2]",736117.545547053,120486.622080767,0.3069445092774
"1","2011","Stratum_1"," [kg*km2/km2]",815620.417012746,147455.428423976,0.34806777203318
"1","2012","Stratum_1"," [kg*km2/km2]",1095151.74872129,278744.908334624,0.509098581531017
"1","2013","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2014","Stratum_1"," [kg*km2/km2]",2940356.49655035,501226.633067921,0.299399827308011
"1","2015","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2016","Stratum_1"," [kg*km2/km2]",1148055.76544756,228005.498870134,0.364106917940101
"1","2017","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2018","Stratum_1"," [kg*km2/km2]",7228533.11297591,2467447.76306726,0.677859535183058
"1","2019","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2020","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2021","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2022","Stratum_1"," [kg*km2/km2]",639909.249664543,204998.851697118,0.642315053105792
"1","2023","Stratum_1"," [kg*km2/km2]",737789.112637209,85640.3720285768,0.229350441771333
"1","2024","Stratum_1"," [kg*km2/km2]",603108.425396845,204188.14011521,0.693371329243621
