"","Year","mean","Year.1","SD"
"1",2003,35.3476294943273,2003,50.0795964229876
"2",2004,179.55791243748,2004,192.383665626643
"3",2005,154.992344265872,2005,140.425930035988
"4",2006,21.6413140941458,2006,23.7087364808464
"5",2007,4.4461265507422,2007,8.80674649726551
"6",2008,8.02983404887269,2008,12.4218471465408
"7",2009,0.164935289566852,2009,0.493145334943244
"8",2010,1.2952521246173,2010,2.85687580099031
"9",2011,1.56846897157244,2011,5.5410313959897
"10",2012,1.71858233403143,2012,2.12320032279679
"11",2013,NA,2013,NA
"12",2014,45.5893358585292,2014,53.4895264986118
"13",2015,NA,2015,NA
"14",2016,36.049649354043,2016,45.5365130586565
"15",2017,NA,2017,NA
"16",2018,55.9425316490014,2018,53.2815766035394
"17",2019,NA,2019,NA
"18",2021,NA,2021,NA
"19",2022,9.52591832620304,2022,8.30240055209933
"20",2023,NA,2023,NA
"21",2024,4.64069364471557,2024,4.13401890028037
