"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",23277776.4507383,3929490.02208136,0.293269174503798
"1","2004","Stratum_1"," [kg*km2/km2]",118934670.773102,15755002.5200397,0.233358904496372
"1","2005","Stratum_1"," [kg*km2/km2]",108525918.154239,16907856.9817253,0.287103404906151
"1","2006","Stratum_1"," [kg*km2/km2]",14161351.1689023,1731484.3087904,0.206589712199597
"1","2007","Stratum_1"," [kg*km2/km2]",2810073.87194466,432394.233343129,0.249745330170113
"1","2008","Stratum_1"," [kg*km2/km2]",5874771.04829624,1100030.58688469,0.358470371415757
"1","2009","Stratum_1"," [kg*km2/km2]",120940.437893842,35804.4277724278,0.576850411486658
"1","2010","Stratum_1"," [kg*km2/km2]",827955.65323339,165539.147474362,0.339029107281011
"1","2011","Stratum_1"," [kg*km2/km2]",1022823.53725096,236899.375692338,0.380176328818728
"1","2012","Stratum_1"," [kg*km2/km2]",1115288.43818043,140345.661933541,0.213176617064517
"1","2013","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2014","Stratum_1"," [kg*km2/km2]",29014134.5822175,3497591.54335344,0.204942912229921
"1","2015","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2016","Stratum_1"," [kg*km2/km2]",24921842.5623943,3912062.73541156,0.29083980582972
"1","2017","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2018","Stratum_1"," [kg*km2/km2]",43635086.9861869,9274128.29040172,0.439654730671268
"1","2019","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2020","Stratum_1"," [kg*km2/km2]",1129011.43158167,324189.195070556,0.746375133948647
"1","2021","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2022","Stratum_1"," [kg*km2/km2]",7625540.53678059,1610410.32224593,0.444926626157336
"1","2023","Stratum_1"," [kg*km2/km2]",1129011.43158168,324189.195070556,0.746375133948647
"1","2024","Stratum_1"," [kg*km2/km2]",3673215.35730632,708094.123620373,0.400691638867969
