"","Year","mean","Year.1","SD"
"1",2003,83.727927115566,2003,78.2873967556314
"2",2004,229.962800807374,2004,147.048715386628
"3",2005,144.23841303256,2005,65.5180598896986
"4",2006,129.766467787426,2006,126.109385978705
"5",2007,146.145567280708,2007,93.9286978807713
"6",2009,52.4520912857572,2009,43.4301487429013
"7",2010,83.0203430289318,2010,109.070729923892
"8",2011,110.486298311641,2011,172.166053057053
"9",2012,57.4427440246739,2012,49.8957952835731
"10",2013,122.375734601829,2013,82.3087450453394
"11",2014,376.023312798043,2014,271.194388748187
"12",2015,200.770451613918,2015,86.3626832504508
"13",2016,132.933797327726,2016,114.15545796416
"14",2017,190.789818487828,2017,221.622185877282
"15",2018,153.676751389032,2018,89.4470080544893
"16",2019,202.096983883551,2019,112.88622556809
"17",2021,47.16118269703,2021,43.601884496436
"18",2022,38.5484933638853,2022,47.7663431576491
"19",2023,79.7283569616432,2023,58.9379187253466
"20",2024,73.1557453535125,2024,75.061471491218
"21",2025,250.537149412667,2025,211.844984061303
