"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",21083405.8858882,3507581.39708052,0.218004473424512
"1","2004","Stratum_1"," [kg*km2/km2]",68004974.6870575,9277292.1905023,0.202974719100547
"1","2005","Stratum_1"," [kg*km2/km2]",43633401.7890093,7222117.20187104,0.254132194642795
"1","2006","Stratum_1"," [kg*km2/km2]",35120717.0808315,5595432.82494387,0.221674671763859
"1","2007","Stratum_1"," [kg*km2/km2]",39820819.6256676,5068853.38984742,0.175869277405195
"1","2008","Stratum_1"," [kg*km2/km2]",284909.194094207,62383.3701911511,0.38285718531529
"1","2009","Stratum_1"," [kg*km2/km2]",15735969.6778463,2087555.28479645,0.199579617543899
"1","2010","Stratum_1"," [kg*km2/km2]",22045204.3361609,3060166.88933303,0.190229557592778
"1","2011","Stratum_1"," [kg*km2/km2]",30125234.8186236,4251858.47295088,0.195476059680028
"1","2012","Stratum_1"," [kg*km2/km2]",16683642.747302,2394021.65703993,0.212805533592088
"1","2013","Stratum_1"," [kg*km2/km2]",36049926.1593134,5562212.11617376,0.232804215587264
"1","2014","Stratum_1"," [kg*km2/km2]",110984153.111948,15839788.9484668,0.215134874172995
"1","2015","Stratum_1"," [kg*km2/km2]",61539318.8838955,10397939.2570555,0.262058080755589
"1","2016","Stratum_1"," [kg*km2/km2]",37963333.3187677,7177676.77023183,0.277023950479726
"1","2017","Stratum_1"," [kg*km2/km2]",55990919.8296925,9137597.35682324,0.245493164932908
"1","2018","Stratum_1"," [kg*km2/km2]",45474699.9810944,6824666.92593156,0.226306301784094
"1","2019","Stratum_1"," [kg*km2/km2]",60270381.9093903,8452885.56953875,0.211837125112992
"1","2020","Stratum_1"," [kg*km2/km2]",284909.194094207,62383.3701911511,0.38285718531529
"1","2021","Stratum_1"," [kg*km2/km2]",13467705.5154007,1897652.84068435,0.205245910572257
"1","2022","Stratum_1"," [kg*km2/km2]",10860958.4429909,1709188.66268604,0.229681520557535
"1","2023","Stratum_1"," [kg*km2/km2]",22406986.416609,3538767.37781537,0.224538941000318
"1","2024","Stratum_1"," [kg*km2/km2]",20779389.3350152,3152801.46047958,0.223186147116101
"1","2025","Stratum_1"," [kg*km2/km2]",73930164.6277249,10553524.2776999,0.21368801566725
