"","Year","mean","Year.1","SD"
"1",2003,47.8125507644797,2003,67.8598892774581
"2",2004,166.125643026848,2004,170.370531270283
"3",2005,85.9429979437657,2005,69.9140769318154
"4",2006,127.25832547064,2006,152.960972790498
"5",2007,102.438591013025,2007,91.8768629862563
"6",2009,21.889173653936,2009,22.1155790713145
"7",2010,27.1048969037816,2010,44.6242943464966
"8",2011,70.8586741431203,2011,149.725558221038
"9",2012,20.0248823812444,2012,25.9134561043347
"10",2013,60.2357790392034,2013,68.3168407749035
"11",2014,141.358702293464,2014,200.692185119423
"12",2015,58.8836963769831,2015,88.0898289596643
"13",2016,65.5875682069918,2016,101.64478795369
"14",2017,130.884854750943,2017,220.104510710023
"15",2018,55.1742234412592,2018,77.5950851746374
"16",2019,72.3793619817547,2019,90.8616002406368
"17",2021,11.6922977441289,2021,20.4284817106246
"18",2022,21.714252512741,2022,40.0303040695074
"19",2023,24.9171311204218,2023,35.2918372824285
"20",2024,22.6070162813532,2024,51.4349045847398
"21",2025,25.4731596209506,2025,48.4867385857936
