"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",16169368.9830713,2709064.24566319,0.299824978250543
"1","2004","Stratum_1"," [kg*km2/km2]",59018185.1293425,8906280.10108083,0.271410027108341
"1","2005","Stratum_1"," [kg*km2/km2]",31865176.0267685,5724520.01387405,0.34156643008268
"1","2006","Stratum_1"," [kg*km2/km2]",44566594.5502658,7327296.79838491,0.298446676306505
"1","2007","Stratum_1"," [kg*km2/km2]",35946688.9496783,4708741.30739956,0.234142607108288
"1","2008","Stratum_1"," [kg*km2/km2]",366077.664163274,80374.9026854336,0.487756811594119
"1","2009","Stratum_1"," [kg*km2/km2]",7967139.24102036,1159619.02559691,0.269214944133121
"1","2010","Stratum_1"," [kg*km2/km2]",8795057.21735791,1247897.60544938,0.239450915289468
"1","2011","Stratum_1"," [kg*km2/km2]",22380645.9413202,3871055.08457439,0.279618897712031
"1","2012","Stratum_1"," [kg*km2/km2]",6943769.45283046,1140392.06224525,0.294080263704179
"1","2013","Stratum_1"," [kg*km2/km2]",20685345.9590054,2979515.0051707,0.257680810132793
"1","2014","Stratum_1"," [kg*km2/km2]",48812844.8216839,6948167.28106955,0.255844612341339
"1","2015","Stratum_1"," [kg*km2/km2]",20002988.6934037,3387072.88493452,0.299236478962537
"1","2016","Stratum_1"," [kg*km2/km2]",22926852.1408825,5337955.00230179,0.425989651600559
"1","2017","Stratum_1"," [kg*km2/km2]",45217943.808977,7622076.3407175,0.300808551417342
"1","2018","Stratum_1"," [kg*km2/km2]",18644105.9841205,2932652.7305076,0.278537914498769
"1","2019","Stratum_1"," [kg*km2/km2]",24700255.5237043,3430112.93473215,0.242989853661661
"1","2020","Stratum_1"," [kg*km2/km2]",366077.664163275,80374.9026854336,0.487756811594119
"1","2021","Stratum_1"," [kg*km2/km2]",4021881.78563875,799583.452383826,0.357156049627351
"1","2022","Stratum_1"," [kg*km2/km2]",7127493.01094153,1324712.3160231,0.322510806880223
"1","2023","Stratum_1"," [kg*km2/km2]",8646003.44159986,1456753.68812312,0.302049271982856
"1","2024","Stratum_1"," [kg*km2/km2]",7285101.25812307,1580249.98191719,0.376938111820162
"1","2025","Stratum_1"," [kg*km2/km2]",8415690.85076429,1738302.77221368,0.36519519433343
