"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",675170.328476594,204997.441949142,0.60635742980828
"1","2004","Stratum_1"," [kg*km2/km2]",5828569.16521505,949541.772178055,0.256104700900298
"1","2005","Stratum_1"," [kg*km2/km2]",10981437.7464593,2189421.89264336,0.353341962958048
"1","2006","Stratum_1"," [kg*km2/km2]",201042.359386281,57855.0940866006,0.49559925763837
"1","2007","Stratum_1"," [kg*km2/km2]",72342.3849536922,18051.5519119829,0.475457987360025
"1","2008","Stratum_1"," [kg*km2/km2]",1045109.67498485,421075.654201384,1.2096238356142
"1","2009","Stratum_1"," [kg*km2/km2]",11406.9529776452,3187.67942541402,0.475882538496892
"1","2010","Stratum_1"," [kg*km2/km2]",19717.3192154249,5023.21595632682,0.487477568247489
"1","2011","Stratum_1"," [kg*km2/km2]",16898.3630736388,5119.72581315606,0.532351172686527
"1","2012","Stratum_1"," [kg*km2/km2]",2669.72605087622,1009.73585285921,0.962010615832796
"1","2013","Stratum_1"," [kg*km2/km2]",326137.221350175,148583.159781625,1.15704226212255
"1","2014","Stratum_1"," [kg*km2/km2]",43584127.8853416,12500729.2304578,0.524870840004969
"1","2015","Stratum_1"," [kg*km2/km2]",26131815.9906362,9134601.29148595,0.770358118870139
"1","2016","Stratum_1"," [kg*km2/km2]",2673280.80690065,1131924.93184336,0.938862179245963
"1","2017","Stratum_1"," [kg*km2/km2]",1002418.42585663,340937.244244326,0.750374627634048
"1","2018","Stratum_1"," [kg*km2/km2]",15251636.8709643,6102566.56827499,0.839552729890204
"1","2019","Stratum_1"," [kg*km2/km2]",781348.231149858,249530.012484662,0.571288808593654
"1","2020","Stratum_1"," [kg*km2/km2]",1045109.67498484,421075.654201384,1.2096238356142
"1","2021","Stratum_1"," [kg*km2/km2]",3914850.78178615,876310.43414901,0.398609308814907
"1","2022","Stratum_1"," [kg*km2/km2]",1056217.86534132,300780.400557154,0.58841551890228
"1","2023","Stratum_1"," [kg*km2/km2]",4925412.58188381,1335764.46296443,0.49534627673039
"1","2024","Stratum_1"," [kg*km2/km2]",2676841.27773565,670403.318703361,0.418669759408371
"1","2025","Stratum_1"," [kg*km2/km2]",64524125.7151933,13665885.3625531,0.379429753867908
