"sample_year","est","lwr","upr","log_est","se","se_natural","type","model","region","species","est_mean","est_mean_sd"
2003,226019.958317602,144986.830902899,352342.493726918,12.3283785854951,0.226524769372411,35610.7030933621,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2004,612274.162596014,441923.547793626,848290.732762026,13.3249354392803,0.166351659798738,75712.1785310102,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2005,340819.687089986,213264.496378748,544666.651414049,12.7391088395517,0.239198476031566,57970.9063253496,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2006,374747.45521343,256817.493680147,546830.565069866,12.8340076253172,0.19280285658957,52683.8763095759,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2007,349259.556597718,247853.658307444,492154.276470369,12.7635706399452,0.174991417772741,45071.9880230136,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2009,189007.99309131,127737.58907769,279667.259342725,12.1495445846359,0.199907362817228,26522.9439949145,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2010,204403.264986857,135733.187587262,307814.879175563,12.227850110701,0.208883291809593,31619.4623545848,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2011,363892.621466529,267701.71525299,494646.961199489,12.8046141071279,0.156628118012028,43889.165294404,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2012,166783.729671001,105618.314100515,263371.108693297,12.0244532202102,0.233099260810169,27399.9850115642,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2013,358570.843719307,227942.999508309,564057.901505717,12.7898815309896,0.231142337328026,58547.7346638454,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2014,1146444.3797227,769918.791323702,1707108.24389421,13.9521758669962,0.203134112505151,167434.49939294,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2015,686378.939239479,416785.486478214,1130356.1748572,13.439185143759,0.254524164825665,119991.891881943,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2016,483971.06862174,288821.988488576,810977.019057999,13.0897804083372,0.263379629360915,87682.9898973705,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2017,768238.736388477,477925.987774493,1234899.90330102,13.551855818497,0.242170090903574,132522.808605042,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2018,532530.894533652,344025.697812026,824325.494974397,13.1853961927863,0.222924788274363,83455.5009854534,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2019,781663.895535031,511010.256651153,1195667.67521871,13.5691801260304,0.216858671217546,120120.675180292,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2021,176677.084945773,115488.09206712,270285.808573186,12.0820789665126,0.216920446101692,26917.8222527102,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2022,139297.013734356,88266.8121781535,219829.600236903,11.8443637218809,0.232781960566711,22579.5301030313,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2023,262557.736082552,171259.452307824,402527.065501105,12.4782262838102,0.218009788251858,39979.4921593859,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2024,216117.77501157,141485.171880584,330118.641092461,12.2835787927522,0.216141009673005,32842.56433779,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2025,840464.28803745,568163.117941461,1243270.10529233,13.641709741978,0.199771990259486,120981.481630116,"index","nbs.forage","NBS","Forage",439053.384981073,273845.477621354
2003,8662.705299277,2106.34891117081,35626.7960659992,9.06678234298956,0.721478047735704,3074.59702688871,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2004,124285.885890813,52202.0165413003,295907.753284649,11.7303397223052,0.442591458293958,33556.7541264256,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2005,177440.897277149,65668.2527316366,479459.567093844,12.0863928593633,0.507163394414392,50579.8412476558,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2006,2893.64269497126,864.541040302398,9685.10187004167,7.9702714354956,0.616374927371581,925.258992216142,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2007,1464.52618807806,408.379406625011,5252.06932761895,7.28928704803215,0.651588701429735,459.758615123688,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2009,161.698015915789,39.6493526324522,659.436954582271,5.08573049635187,0.717184543462187,57.1666788670189,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2010,323.593208055745,83.0570193242672,1260.73106345166,5.77948719626118,0.693869813549606,102.423513986744,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2011,180.025754846731,53.3514679839339,607.467303765565,5.19309992313673,0.620520805107014,59.8618045933916,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
