Sci,year,vessel,AreaSwept,Lat,Lon,LAT,LON,Wt
Forage_fish,2016,1,0.146098686,54.9752,-164.9922,54.9752,-164.9922,29.604
Forage_fish,2016,1,0.232959648,55.4782,-164.0111,55.4782,-164.0111,12.84
Forage_fish,2016,1,0.182459546,55.4898,-165.9999,55.4898,-165.9999,8.846
Forage_fish,2016,1,0.229879515,55.9946,-163.0146,55.9946,-163.0146,30.53
Forage_fish,2016,1,0.176699976,56.0077,-164.9583,56.0077,-164.9583,0.934
Forage_fish,2016,1,0.229843072,56.0882,-167.0562,56.0882,-167.0562,2.842
Forage_fish,2016,1,0.231787526,56.472,-162.061,56.472,-162.061,18.716
Forage_fish,2016,1,0.185869867,56.484,-165.9658,56.484,-165.9658,0.46
Forage_fish,2016,1,0.224762929,56.5263,-164.0626,56.5263,-164.0626,14.432
Forage_fish,2016,1,0.189932561,56.5576,-170.0239,56.5576,-170.0239,0.874
Forage_fish,2016,1,0.195067579,56.5646,-167.9556,56.5646,-167.9556,6.932
Forage_fish,2016,1,0.219197224,56.9599,-163.0468,56.9599,-163.0468,61.8739
Forage_fish,2016,1,0.209498984,57.001,-164.9929,57.001,-164.9929,16.374
Forage_fish,2016,1,0.188407636,57.0117,-160.9794,57.0117,-160.9794,22.798
Forage_fish,2016,1,0.217719249,57.0199,-168.955,57.0199,-168.955,13.3286
Forage_fish,2016,1,0.203246728,57.0247,-167.0534,57.0247,-167.0534,38.252
Forage_fish,2016,1,0.227308835,57.4762,-167.98,57.4762,-167.98,33.3568
Forage_fish,2016,1,0.18453788,57.4902,-165.9927,57.4902,-165.9927,84.792
Forage_fish,2016,1,0.231893794,57.5042,-159.9901,57.5042,-159.9901,0
Forage_fish,2016,1,0.233908173,57.508,-161.9808,57.508,-161.9808,5.946
Forage_fish,2016,1,0.168140929,57.5117,-164.0156,57.5117,-164.0156,86.773
Forage_fish,2016,1,0.199107628,57.5433,-170.0613,57.5433,-170.0613,9.263
Forage_fish,2016,1,0.197588398,57.9768,-161.0144,57.9768,-161.0144,10.786
Forage_fish,2016,1,0.198287854,58.005,-171.0263,58.005,-171.0263,3.772
Forage_fish,2016,1,0.199756839,58.0076,-163.0031,58.0076,-163.0031,6.354
Forage_fish,2016,1,0.183698609,58.0141,-169.0475,58.0141,-169.0475,77.4762
Forage_fish,2016,1,0.234487959,58.0144,-164.9639,58.0144,-164.9639,2.256
Forage_fish,2016,1,0.231223826,58.0295,-167.0817,58.0295,-167.0817,71.2665
Forage_fish,2016,1,0.212692318,58.5019,-170.0604,58.5019,-170.0604,0.416
Forage_fish,2016,1,0.227146598,58.5025,-163.9714,58.5025,-163.9714,11.208
Forage_fish,2016,1,0.189424051,58.5069,-168.0016,58.5069,-168.0016,9.0559
Forage_fish,2016,1,0.176722165,58.5258,-172.0422,58.5258,-172.0422,6.6324
Forage_fish,2016,1,0.218331456,58.9977,-171.061,58.9977,-171.061,14.4299
Forage_fish,2016,1,0.196794381,58.9979,-167.0599,58.9979,-167.0599,15.39
Forage_fish,2016,1,0.203513536,59.0439,-168.9969,59.0439,-168.9969,174.5937
Forage_fish,2016,1,0.19104326,59.5113,-170.0527,59.5113,-170.0527,13.7329
