"","Year","mean","Year.1","SD"
"1",2003,83.720780216322,2003,78.168470659723
"2",2004,229.682476149042,2004,148.274230500342
"3",2005,145.270517460347,2005,66.8975701313589
"4",2006,129.394976445393,2006,126.426429032599
"5",2007,146.769090340056,2007,93.7203496809145
"6",2009,52.2266751871068,2009,43.4746574894322
"7",2010,82.2257802711767,2010,107.059470494098
"8",2011,110.304069120317,2011,170.806237294855
"9",2012,57.2786643112002,2012,50.379854372192
"10",2013,120.318409223963,2013,82.3975595764856
"11",2014,374.596263264703,2014,268.192560566309
"12",2015,198.315021529677,2015,87.8358094077185
"13",2016,132.253018092811,2016,113.232967866939
"14",2017,189.598318201307,2017,222.463895994269
"15",2018,152.300795069726,2018,88.4987302439419
"16",2019,200.019563993126,2019,112.825514139557
"17",2021,47.2484674104602,2021,43.7184250749171
"18",2022,38.4825635334965,2022,47.4563633239131
"19",2023,78.9782533627744,2023,58.4411884457371
"20",2024,72.5238808880763,2024,73.9090696562777
