"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",20462400.6633667,3526907.31443565,0.219101781594481
"1","2004","Stratum_1"," [kg*km2/km2]",68108021.9655659,9265909.33501334,0.202996928190451
"1","2005","Stratum_1"," [kg*km2/km2]",44074058.2993106,7294959.9596552,0.254861328568292
"1","2006","Stratum_1"," [kg*km2/km2]",34485401.8021969,5605494.51062234,0.222663254714023
"1","2007","Stratum_1"," [kg*km2/km2]",39604167.7490165,5150829.16792267,0.177936878969562
"1","2008","Stratum_1"," [kg*km2/km2]",285087.738328504,61433.2200302606,0.376025229283044
"1","2009","Stratum_1"," [kg*km2/km2]",15716267.4643905,2083646.46541807,0.200098393684076
"1","2010","Stratum_1"," [kg*km2/km2]",21685516.0132556,3015544.60985496,0.18915524597406
"1","2011","Stratum_1"," [kg*km2/km2]",30198986.5698298,4262679.59975238,0.196245558370539
"1","2012","Stratum_1"," [kg*km2/km2]",16680967.6365721,2391343.51933565,0.213217092540789
"1","2013","Stratum_1"," [kg*km2/km2]",35484798.8806554,5390194.19906114,0.22951891147772
"1","2014","Stratum_1"," [kg*km2/km2]",110900478.954246,15742968.6044104,0.214757365948245
"1","2015","Stratum_1"," [kg*km2/km2]",60798157.8847702,10130344.662236,0.258499437203292
"1","2016","Stratum_1"," [kg*km2/km2]",37576105.6367463,7120315.5524117,0.276240420416746
"1","2017","Stratum_1"," [kg*km2/km2]",55777730.9470924,9096967.57547864,0.245872442619689
"1","2018","Stratum_1"," [kg*km2/km2]",45172873.5508367,6706367.494195,0.224423350587527
"1","2019","Stratum_1"," [kg*km2/km2]",59784352.1720825,8303489.32436981,0.21026264195182
"1","2020","Stratum_1"," [kg*km2/km2]",285087.738328506,61433.2200302606,0.376025229283044
"1","2021","Stratum_1"," [kg*km2/km2]",13460817.6521607,1918071.98112398,0.207052172692562
"1","2022","Stratum_1"," [kg*km2/km2]",10880354.1025655,1711302.51423784,0.230260080711796
"1","2023","Stratum_1"," [kg*km2/km2]",21767166.3546488,3480301.87377818,0.222825398352424
"1","2024","Stratum_1"," [kg*km2/km2]",20621238.0706499,3122141.51797048,0.222832973926978
