"","Year","mean","Year.1","SD"
"1",2003,47.844690288681,2003,68.3176979194426
"2",2004,166.613895249097,2004,168.604790956484
"3",2005,84.5991040747833,2005,67.2101233674667
"4",2006,127.003667394357,2006,150.627079590785
"5",2007,102.160651809646,2007,90.8890024058055
"6",2009,22.0919335476193,2009,22.4304600926482
"7",2010,27.274230454992,2010,44.6888563641409
"8",2011,72.3765162475613,2011,152.729830940147
"9",2012,19.6666149272921,2012,25.3905156551826
"10",2013,59.7840374080422,2013,68.5012835636391
"11",2014,143.650867290987,2014,209.221607603096
"12",2015,58.3327512082106,2015,87.469146263995
"13",2016,64.3390237503302,2016,99.5039904964036
"14",2017,130.415943475213,2017,222.029528277194
"15",2018,54.8923710195891,2018,77.2060649625212
"16",2019,73.1078220168066,2019,92.006787904954
"17",2021,11.7117213028825,2021,20.2655671401094
"18",2022,21.681995820709,2022,39.8109759746642
"19",2023,25.0939470876901,2023,35.0783428372276
"20",2024,22.7646202243607,2024,51.8935509415814
