"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",16145145.917548,2725082.18716418,0.301077664166573
"1","2004","Stratum_1"," [kg*km2/km2]",59088885.4882828,8858045.70913743,0.268823479255402
"1","2005","Stratum_1"," [kg*km2/km2]",31326724.5430627,5595302.75797338,0.338896867979426
"1","2006","Stratum_1"," [kg*km2/km2]",44487211.1818479,7320907.515411,0.298401021299903
"1","2007","Stratum_1"," [kg*km2/km2]",35727046.3524377,4635663.74572376,0.230934614488864
"1","2008","Stratum_1"," [kg*km2/km2]",369489.662073235,82271.9822770659,0.497350889401655
"1","2009","Stratum_1"," [kg*km2/km2]",8037419.33222345,1172197.93349222,0.269120187736838
"1","2010","Stratum_1"," [kg*km2/km2]",8819561.88890124,1250136.70859385,0.23830291017369
"1","2011","Stratum_1"," [kg*km2/km2]",22794061.4153409,3950757.62939459,0.279239797336953
"1","2012","Stratum_1"," [kg*km2/km2]",6798236.57904341,1110920.08676107,0.291324892889304
"1","2013","Stratum_1"," [kg*km2/km2]",20433167.2503032,2956006.90701485,0.257388067316783
"1","2014","Stratum_1"," [kg*km2/km2]",49446240.6850025,7196674.24061254,0.260633138899576
"1","2015","Stratum_1"," [kg*km2/km2]",19750302.705423,3336633.58915705,0.297215971696491
"1","2016","Stratum_1"," [kg*km2/km2]",22439668.6823201,5187800.72343338,0.421579631395926
"1","2017","Stratum_1"," [kg*km2/km2]",44866190.23017,7611706.70208877,0.301250759054473
"1","2018","Stratum_1"," [kg*km2/km2]",18471854.4908062,2907715.47229358,0.277461380592789
"1","2019","Stratum_1"," [kg*km2/km2]",24907680.8694243,3472191.48000586,0.243284689180854
"1","2020","Stratum_1"," [kg*km2/km2]",369489.662073234,82271.9822770659,0.497350889401655
"1","2021","Stratum_1"," [kg*km2/km2]",4026197.63739738,801463.63518466,0.356920178797471
"1","2022","Stratum_1"," [kg*km2/km2]",7105920.84352395,1324224.39008769,0.322597709032624
"1","2023","Stratum_1"," [kg*km2/km2]",8701742.4463881,1467052.42645644,0.301633834611383
"1","2024","Stratum_1"," [kg*km2/km2]",7321240.38576225,1605975.243278,0.380310601261411
