"","Year","mean","Year.1","SD"
"1",2003,1.73489910451278,2003,2.3123850757
"2",2004,17.7863253596668,2004,30.5445583062983
"3",2005,29.3637188889211,2005,39.9150432250108
"4",2006,0.532153144764976,2006,1.66090540055329
"5",2007,0.183445454063288,2007,0.300700777787721
"6",2009,0.0311843669901116,2009,0.0956036672401417
"7",2010,0.0507647799365444,2010,0.0737832491480278
"8",2011,0.0453098755436357,2011,0.150228675820037
"9",2012,0.00511056750777711,2012,0.00643308475626243
"10",2013,0.610819426200127,2013,0.985171877789435
"11",2014,121.626910367221,2014,220.39308437205
"12",2015,55.9718730476003,2015,72.6694422121264
"13",2016,5.61797894140859,2016,12.5885696515717
"14",2017,2.0775096168089,2017,2.72189790236518
"15",2018,35.4446387070686,2018,89.8816158739523
"16",2019,2.03572763391697,2019,5.2061513813673
"17",2021,10.8588675279794,2021,17.2712151978794
"18",2022,2.41279475922205,2022,3.47701765587959
"19",2023,12.5915944725443,2023,21.6577844067944
"20",2024,7.75456295615881,2024,20.2961069080281
