"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",662631.698842853,207294.002904037,0.613534060200055
"1","2004","Stratum_1"," [kg*km2/km2]",5647628.01741036,920181.312534315,0.251240545767797
"1","2005","Stratum_1"," [kg*km2/km2]",10426034.9289214,2018111.49939401,0.334648270724223
"1","2006","Stratum_1"," [kg*km2/km2]",197321.836153272,57513.170752661,0.49565846524187
"1","2007","Stratum_1"," [kg*km2/km2]",70596.7831176411,17632.3285608415,0.468930128317907
"1","2008","Stratum_1"," [kg*km2/km2]",976393.388264084,396892.456374769,1.23062726813346
"1","2009","Stratum_1"," [kg*km2/km2]",11074.3335462736,3108.55245557528,0.471139788628522
"1","2010","Stratum_1"," [kg*km2/km2]",19119.8019786015,4917.82334786509,0.483474144482807
"1","2011","Stratum_1"," [kg*km2/km2]",16618.7819596115,5081.34283491819,0.532287649922625
"1","2012","Stratum_1"," [kg*km2/km2]",2598.25854411767,985.506335957317,0.956941656700398
"1","2013","Stratum_1"," [kg*km2/km2]",313264.797640109,143563.76865726,1.15607839686308
"1","2014","Stratum_1"," [kg*km2/km2]",44300569.8218214,13087993.6828667,0.534362860304433
"1","2015","Stratum_1"," [kg*km2/km2]",24590927.3093615,8720312.07638092,0.768516553873923
"1","2016","Stratum_1"," [kg*km2/km2]",2586758.14743902,1102116.51654444,0.935113663314587
"1","2017","Stratum_1"," [kg*km2/km2]",913350.896251917,303728.9250405,0.714770062037535
"1","2018","Stratum_1"," [kg*km2/km2]",15479966.1638848,6310004.35909661,0.849147497774597
"1","2019","Stratum_1"," [kg*km2/km2]",763391.59449564,247319.579333347,0.570745225840622
"1","2020","Stratum_1"," [kg*km2/km2]",976393.388264088,396892.456374769,1.23062726813346
"1","2021","Stratum_1"," [kg*km2/km2]",3879062.35792734,880828.690835818,0.399213075980661
"1","2022","Stratum_1"," [kg*km2/km2]",1013516.64898984,286535.594146537,0.573085785007283
"1","2023","Stratum_1"," [kg*km2/km2]",4532143.51744374,1194128.278315,0.470388472647946
"1","2024","Stratum_1"," [kg*km2/km2]",2669409.32570402,675840.309820193,0.419377541821094
