"","Year","mean","Year.1","SD"
"1",2003,0.126275177321911,2003,0.267587887398294
"2",2004,0.194717602311555,2004,0.669313423358545
"3",2005,1.26575402618585,2005,2.91421825232458
"4",2006,0.150534058991775,2006,0.455196193522222
"5",2007,0.940160690436014,2007,4.82554119822897
"6",2009,3.84745382792184,2009,10.6814169278094
"7",2010,13.9944436595923,2010,134.807749643385
"8",2011,5.36326086543553,2011,20.1696224923178
"9",2012,8.44811356436592,2012,71.328804662918
"10",2013,6.50804770993835,2013,64.4970995642063
"11",2014,4.35051518630355,2014,32.4551118249695
"12",2015,6.08837697499952,2015,17.8886274819228
"13",2016,2.01676128883485,2016,6.22218144830661
"14",2017,0.0441611890564191,2017,0.0800867221676805
"15",2018,0.621657361097057,2018,6.76550945282186
"16",2019,0.00450512387441492,2019,0.00631177878774808
"17",2021,0.0626243034475301,2021,0.191267241883662
"18",2022,1.11636716750182,2022,3.3028722093544
"19",2023,1.12593676858259,2023,3.01447150660481
"20",2024,6.08190133529832,2024,12.5531840108646
