"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2003","Stratum_1"," [kg*km2/km2]",96647.1669451368,24883.8896569178,0.981401199143855
"1","2004","Stratum_1"," [kg*km2/km2]",126199.745426265,24697.0301834559,0.612733000386806
"1","2005","Stratum_1"," [kg*km2/km2]",862563.687426568,159721.523000227,0.623143024324497
"1","2006","Stratum_1"," [kg*km2/km2]",104427.231858663,22433.4996125238,0.731766869252022
"1","2007","Stratum_1"," [kg*km2/km2]",451248.987268671,94003.6815843096,0.493951621945217
"1","2008","Stratum_1"," [kg*km2/km2]",1128584.95576298,141494.00887314,0.535593964528049
"1","2009","Stratum_1"," [kg*km2/km2]",1951612.60515388,245971.486444767,0.311420367199707
"1","2010","Stratum_1"," [kg*km2/km2]",5782573.4542056,793901.450727013,0.27530251895701
"1","2011","Stratum_1"," [kg*km2/km2]",3109405.08234735,599529.74690416,0.555230950187971
"1","2012","Stratum_1"," [kg*km2/km2]",3524864.43854442,536134.247373684,0.308983322684404
"1","2013","Stratum_1"," [kg*km2/km2]",2930576.56367223,700464.525863896,0.502925988648069
"1","2014","Stratum_1"," [kg*km2/km2]",2131763.9171227,394652.26626586,0.462568719894236
"1","2015","Stratum_1"," [kg*km2/km2]",4010675.63517988,811698.471952445,0.654769773168179
"1","2016","Stratum_1"," [kg*km2/km2]",1249096.62544602,256519.846290069,0.644076313179639
"1","2017","Stratum_1"," [kg*km2/km2]",33739.4650246375,8276.08349854907,0.936964299285038
"1","2018","Stratum_1"," [kg*km2/km2]",262820.559441928,76111.9856533789,0.650921367913873
"1","2019","Stratum_1"," [kg*km2/km2]",4387.55494272929,2483.54648963781,2.72723856580236
"1","2020","Stratum_1"," [kg*km2/km2]",1128584.95576298,141494.00887314,0.535593964528049
"1","2021","Stratum_1"," [kg*km2/km2]",44993.863467895,11602.1942590884,0.919335987726686
"1","2022","Stratum_1"," [kg*km2/km2]",727865.36276703,143400.954112195,0.636004040657784
"1","2023","Stratum_1"," [kg*km2/km2]",641408.306957742,93716.8576185117,0.410864097515481
"1","2024","Stratum_1"," [kg*km2/km2]",3571575.45052474,466664.2770899,0.384254417384882
