"","station_id","sample_year","cruise_id","haul_date","eq_time","eq_latitude","eq_longitude","effort","effort_units","Capelin_U","Chinook Salmon_J","Chum Salmon_J","Coho Salmon_J","Pacific Cod_A0","Pacific Herring_A1+","Pacific Herring_A0","Pink Salmon_J","Pollock_A0","Rainbow Smelt_U","Saffron Cod_A1+","Saffron Cod_A0","Sockeye Salmon_J","Saffron Cod_All","Pacific Herring_All","Capelin_All","Rainbow Smelt_All","Forage"
"1",20250201001,2025,"NW2501","09/03/2025","09/03/2025 12:24:05 AM",60.0051,-168.0195,0.122950807310057,"km2",0,0.65,3.313,0.214,0,9.88,0,5.2,205.8421,0,0,0,0,0,9.88,0,0,225.0991
"2",20250201002,2025,"NW2501","09/03/2025","09/03/2025  5:14:49 PM",60.0025,-169.0765,0.175169600085327,"km2",0.074,0,0.051,0.46,0.003,0,0,0.83,146.239,0,0,0,0,0,0,0.074,0,147.657
"3",20250201003,2025,"NW2501","09/03/2025","09/03/2025  9:54:33 PM",59.9963,-170.1002,0.180733950265693,"km2",0,0,0,0,0.012,0,0,0.047,370.6993,0,0,0,0.243,0,0,0,0,371.0013
"4",20250201004,2025,"NW2501","09/04/2025","09/04/2025  2:35:16 AM",60.041,-170.9783,0.160625194403604,"km2",0,0,0.109,0,0,0,0,0.68,160.659,0,0,0,1.055,0,0,0,0,162.503
"5",20250201005,2025,"NW2501","09/04/2025","09/04/2025  5:08:16 PM",60.499,-170.8959,0.171349763849131,"km2",0,0,0,0,0,0,0,0.251,343.941,0,0,0,2.229,0,0,0,0,346.421
"6",20250201006,2025,"NW2501","09/04/2025","09/04/2025  9:40:43 PM",60.5034,-169.9224,0.147991974538404,"km2",0,0,2.191,0,0,0,0,4.176,59.3405,0,0,0,1.265,0,0,0,0,66.9725
"7",20250201007,2025,"NW2501","09/05/2025","09/05/2025  2:14:41 AM",60.5117,-168.9421,0.186221211370903,"km2",0,0.195,3.206,0,0,0.37,0,2.517,55.334,0,0,0,0,0,0.37,0,0,61.622
"8",20250201008,2025,"NW2501","09/05/2025","09/05/2025  4:50:01 PM",60.5034,-167.9148,0.183871377392372,"km2",0,1.107,9.556,0.328,0,0.168,0,5.943,93.3476,0,0.11,0,0,0.11,0.168,0,0,110.5596
"9",20250201009,2025,"NW2501","09/05/2025","09/05/2025  9:10:36 PM",60.5429,-167.0274,0.181671973665642,"km2",0,2.323,2.631,1.827,0,0.51,7.3779,1.754,1.0882,0,0,0.0154,0,0.0154,7.8879,0,0,17.5265
"10",20250201010,2025,"NW2501","09/06/2025","09/06/2025  1:19:38 AM",61.0023,-167.0784,0.182130879256357,"km2",0,0.693,5.005,1.228,0,1.132,6.1416,3.724,0.0202,0,0.044,2.5628,0,2.6068,7.2736,0,0,20.5506
