"","station_id","event_code","gear","species_tsn","common_name","scientific_name","lhs_code","sample_year","cruise_id","haul_date","tow_type","gear_performance","eq_time","haulback_time","eq_latitude","eq_longitude","haulback_latitude","haulback_longitude","nbs_strata","oceanographic_domain","effort","effort_units","master_station_name","sampling_method_code","total_catch_number","total_catch_weight","sub_sample_weight","sub_sample_number","cpue_num","cpue_weight"
"1",20250201001,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025 12:24:05 AM","09/03/2025 12:54:08 AM",60.0051,-168.0195,60.005,-168.0703,1,1,0.122950807310057,"km2","60-168","SC",162178.6263,205842.1,66,52,1319052.95986401,1674182.5816638
"2",20250201002,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025  5:14:49 PM","09/03/2025  5:44:53 PM",60.0025,-169.0765,59.9962,-169.1431,2,1,0.175169600085327,"km2","60-169","SC",164145.8163,146239,49,55,937067.939985265,834842.346667261
"3",20250201003,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025  9:54:33 PM","09/03/2025 10:24:37 PM",59.9963,-170.1002,59.9967,-170.1719,2,2,0.180733950265693,"km2","60-170","SC",454631.241,370699.3,53,65,2515472.27475334,2051077.28489884
"4",20250201004,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  2:35:16 AM","09/04/2025  3:05:20 AM",60.041,-170.9783,60.0745,-170.9739,2,2,0.160625194403604,"km2","60-171","SC",177750.337,160659,47,52,1106615.54471564,1000210.46260222
"5",20250201005,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  5:08:16 PM","09/04/2025  5:38:20 PM",60.499,-170.8959,60.5006,-170.8289,2,2,0.171349763849131,"km2","60.5-171","SC",294014.0659,343941,62,53,1715870.85558444,2007245.25248153
"6",20250201006,1,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  9:40:43 PM","09/04/2025 10:10:47 PM",60.5034,-169.9224,60.5067,-169.8638,2,1,0.147991974538404,"km2","60.5-170","SC",58176.9997,59340.5,51,50,393109.152583832,400971.067418261
"7",20250201007,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  2:14:41 AM","09/05/2025  2:44:45 AM",60.5117,-168.9421,60.5178,-168.8707,2,1,0.186221211370903,"km2","60.5-169","SC",56358.7037,55334,54,55,302643.846450706,297141.23108022
"8",20250201008,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  4:50:01 PM","09/05/2025  5:20:05 PM",60.5034,-167.9148,60.5061,-167.8428,1,1,0.183871377392372,"km2","60.5-168","SC",44843.4332,93347.6,102,49,243884.795099492,507678.798755072
"9",20250201009,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  9:10:36 PM","09/05/2025  9:40:40 PM",60.5429,-167.0274,60.577,-167.0393,1,1,0.181671973665642,"km2","60.5-167","SC",630.6437,1088.2,88,51,3471.33180355418,5989.91676064893
"10",20250201010,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  1:19:38 AM","09/06/2025  1:49:42 AM",61.0023,-167.0784,61.0122,-167.1456,1,1,0.182130879256357,"km2","61-167","SC",5.0548,20.2,4,1,27.7536682447195,110.909254281739
"11",20250201011,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  5:15:25 PM","09/06/2025  5:45:30 PM",61.0135,-168.0802,61.0149,-168.1413,1,1,0.156801702477055,"km2","61-168","SC",25544.4848,45159,99,56,162909.486290418,288000.699524345
"12",20250201012,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  9:36:36 PM","09/06/2025 10:06:41 PM",61.0302,-169.0521,61.0312,-169.124,2,1,0.181771242467182,"km2","61-169","SC",11322,11322,52,52,62287.0804332217,62287.0804332217
"13",20250201013,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/07/2025","S","G","09/07/2025  2:06:00 AM","09/07/2025  2:36:04 AM",61.0234,-170.0749,61.0272,-170.1386,2,1,0.163636983565348,"km2","61-170","SC",11103.3333,16655,75,50,67853.446440278,101780.169965971
"14",20250201014,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/07/2025","S","G","09/07/2025  7:36:26 PM","09/07/2025  8:06:30 PM",61.037,-170.9552,61.0691,-170.9507,2,2,0.163319660278012,"km2","61-171","SC",54671.6216,80914,74,50,334752.236852164,495433.310737137
"15",20250201015,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/08/2025","S","G","09/08/2025 12:59:44 AM","09/08/2025  1:30:15 AM",61.4881,-170.9364,61.4933,-170.8702,4,1,0.166507821525561,"km2","61.5-171","SC",7221.4206,12079.5,92,55,43369.858147423,72546.1416126067
"16",20250201016,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/08/2025","S","G","09/08/2025  5:04:30 PM","09/08/2025  5:34:34 PM",61.4971,-169.94,61.5011,-169.8692,4,1,0.181400454930341,"km2","61.5-170","SC",5106.0268,10385.1,120,59,28147.8169498569,57249.5807906764
